dataset,method,method_display,edge_removal_rate_or_AUC,n,mean,std,ci_low,ci_high,seed_ids
facebook,original_ilp_gcn,ILP-GCN,0.8,10,0.9086683985685511,0.002847838813451142,0.9066311774062071,0.910705619730895,0 1 2 3 4 5 6 7 8 9
facebook,original_ilp_gcn,ILP-GCN,0.9,10,0.8965735416790084,0.006013950397075103,0.8922714207301894,0.9008756626278274,0 1 2 3 4 5 6 7 8 9
facebook,original_ilp_gcn,ILP-GCN,AUC,10,0.7419894064966203,0.002842542552294964,0.7399559740512703,0.7440228389419702,0 1 2 3 4 5 6 7 8 9
facebook,ptdnet,PTDNet,0.1,10,0.938593616023766,0.00470219762434938,0.9352298664798657,0.9419573655676663,0 1 2 3 4 5 6 7 8 9
facebook,ptdnet,PTDNet,0.2,10,0.935582930385492,0.005015983314539512,0.9319947120811138,0.9391711486898702,0 1 2 3 4 5 6 7 8 9
facebook,ptdnet,PTDNet,0.3,10,0.9312655933175563,0.005299357387830686,0.9274746614128713,0.9350565252222414,0 1 2 3 4 5 6 7 8 9
facebook,ptdnet,PTDNet,0.4,10,0.9255663125766811,0.006927696347877367,0.9206105371516368,0.9305220880017254,0 1 2 3 4 5 6 7 8 9
facebook,ptdnet,PTDNet,0.5,10,0.9209806406316636,0.007272200962275151,0.9157784214515651,0.9261828598117622,0 1 2 3 4 5 6 7 8 9
facebook,ptdnet,PTDNet,0.6,10,0.915073637827686,0.00743977156977623,0.9097515458562709,0.9203957297991011,0 1 2 3 4 5 6 7 8 9
facebook,ptdnet,PTDNet,0.7,10,0.9108837317314782,0.0060965557956916576,0.906522518440287,0.9152449450226694,0 1 2 3 4 5 6 7 8 9
facebook,ptdnet,PTDNet,0.8,10,0.9057184562896765,0.006817040512265043,0.9008418392808254,0.9105950732985276,0 1 2 3 4 5 6 7 8 9
facebook,ptdnet,PTDNet,0.9,10,0.9018914416776219,0.006179821139519464,0.8974706639476939,0.9063122194075499,0 1 2 3 4 5 6 7 8 9
