dataset,method,seed,edge_removal_rate,test_macro_f1,giant_component_ratio,bridge_preservation,minority_degree_retention,train_seconds
facebook,cailp_a31,8,0.4,0.9407497337065778,0.9842456608811749,0.9142280524722503,0.8085188421270196,1214.3941317499994
facebook,cailp_a31,8,0.5,0.9394088734259467,0.9785491766800178,0.9064917591658258,0.7543047041836468,1214.3941317499994
facebook,cailp_a31,8,0.6,0.9380037375943711,0.9585224744103249,0.8947191389169189,0.6781783652086346,1214.3941317499994
facebook,cailp_a31,8,0.7,0.9301914227905778,0.9127725856697819,0.8718466195761857,0.5789422438421428,1214.3941317499994
facebook,cailp_a31,8,0.8,0.9245590229291738,0.8081441922563418,0.824083417423478,0.4262687461847663,1214.3941317499994
facebook,cailp_a31,8,0.9,0.9145531228377615,0.44058744993324434,0.6834846955936764,0.28638009577950896,1214.3941317499994
facebook,cailp_a31,9,0.1,0.9040871657448109,0.7451268357810414,0.13488059199461824,0.6945559051926192,1129.3054212079987
facebook,cailp_a31,9,0.2,0.8945988208071389,0.6226079216733422,0.06525395223679785,0.5200996796159317,1129.3054212079987
facebook,cailp_a31,9,0.3,0.8868530508762404,0.49109924343569206,0.04002690884628322,0.4028676685459182,1129.3054212079987
facebook,cailp_a31,9,0.4,0.8830074062567486,0.3817979528259902,0.02791792801883619,0.3001359271895227,1129.3054212079987
facebook,cailp_a31,9,0.5,0.8797200213621406,0.3186915887850467,0.023881601076353853,0.23281329772395104,1129.3054212079987
facebook,cailp_a31,9,0.6,0.881454684587194,0.2708945260347129,0.020181634712411706,0.18199765568086487,1129.3054212079987
facebook,cailp_a31,9,0.7,0.8808443225828716,0.21570983533600355,0.01849983181971073,0.14276927953005758,1129.3054212079987
facebook,cailp_a31,9,0.8,0.8838283672614775,0.16617712505562973,0.01782711066263034,0.030262815623270815,1129.3054212079987
facebook,cailp_a31,9,0.9,0.8891581111185896,0.1070315976858033,0.017154389505549948,0.001197566015716707,1129.3054212079987
facebook,cailp_social_multi,0,0.1,0.9104380245818469,0.8694259012016021,0.49175916582576523,0.8454168562988796,2217.1305073750004
facebook,cailp_social_multi,0,0.2,0.9103826600688227,0.8537160658655986,0.4524049781365624,0.7747928293488109,2217.1305073750004
facebook,cailp_social_multi,0,0.3,0.9118059210964988,0.8375611927013796,0.41910528086108306,0.6618332255950167,2217.1305073750004
facebook,cailp_social_multi,0,0.4,0.9090071848196526,0.8153983088562528,0.3703329969727548,0.5946400435679459,2217.1305073750004
facebook,cailp_social_multi,0,0.5,0.9066631697008103,0.7862038273253227,0.29936091490077366,0.5212648606054054,2217.1305073750004
